trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,21,20,up,0.005,db,0.05020188266799102,0.0005250000103842467,62.983963200007565,62.983963200007565,63.28362500001094,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,22,21,up,0.005,db,0.05023078951391974,0.0005623000033665448,65.46695750000072,65.46695750000072,65.76692530000582,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,23,22,up,0.005,db,0.05023078951391974,0.0006797999958507717,67.93355630000588,67.93355630000588,68.23333200000343,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,24,23,up,0.005,db,0.05023078951391974,0.0005700999754481018,70.41623540001456,70.41623540001456,70.71664020000026,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,25,24,down,0.005,db,0.05020188266799102,0.0005802000232506543,72.78258729999652,72.78258729999652,73.08245730001363,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,26,25,up,0.005,db,0.05023078951391974,0.0004886999959126115,75.58195059999707,75.58195059999707,75.88236859999597,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,27,26,up,0.005,db,0.05023078951391974,0.0003535999858286232,77.9654057000007,77.9654057000007,78.26526580000063,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,28,27,up,0.005,db,0.050259713004756915,0.0005953999934718013,80.41465429999516,80.41465429999516,80.71453830000246,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,29,28,up,0.005,db,0.05028865315008689,0.0004901000065729022,82.89789110000129,82.89789110000129,83.19776760000968,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,30,29,up,0.005,db,0.05028865315008689,0.0004985000123269856,85.3807295000006,85.3807295000006,85.68061690000468,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
